[160, 700] [746.500874814525, 529.0053318846581] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[160, 700] [612.1188149059358, 432.6628009387675] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[160, 700] [886.2084919714689, 328.51041668643734] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[160, 700] [1020, 534.8214504901371] [1020, 534.8214504901371] [746.500874814525, 529.0053318846581]
[160, 700] [277.0632281902271, 236.4901852045688] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[160, 700] [564.2091643979257, 335.8523239537853] [564.2091643979257, 335.8523239537853] [363.55937108571817, 523.5437550867098]
[160, 700] [363.55937108571817, 523.5437550867098] [363.55937108571817, 523.5437550867098] [77.16823632612892, 431.1137357549361]
[160, 700] [77.16823632612892, 431.1137357549361] [77.16823632612892, 431.1137357549361] [277.0632281902271, 236.4901852045688]
[160, 700] [748.9132705914279, 209.8235796975721] [748.9132705914279, 209.8235796975721] [631.9101733489499, 229.7916120325405]
[160, 700] [631.9101733489499, 229.7916120325405] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[160, 700] [313.74967454978605, 215.78273886800122] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[160, 700] [316.8059895750102, 106.76736664299011] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[160, 700] [536.1940104249898, 77.23263335700987] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[160, 700] [560.4268815098361, 51.60206940188617] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[950, 180] [746.500874814525, 529.0053318846581] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[950, 180] [612.1188149059358, 432.6628009387675] [612.1188149059358, 432.6628009387675] [886.2084919714689, 328.51041668643734]
[950, 180] [886.2084919714689, 328.51041668643734] [886.2084919714689, 328.51041668643734] [1020, 534.8214504901371]
[950, 180] [1020, 534.8214504901371] [1020, 534.8214504901371] [746.500874814525, 529.0053318846581]
[950, 180] [277.0632281902271, 236.4901852045688] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[950, 180] [564.2091643979257, 335.8523239537853] [564.2091643979257, 335.8523239537853] [363.55937108571817, 523.5437550867098]
[950, 180] [363.55937108571817, 523.5437550867098] [363.55937108571817, 523.5437550867098] [77.16823632612892, 431.1137357549361]
[950, 180] [77.16823632612892, 431.1137357549361] [277.0632281902271, 236.4901852045688] [564.2091643979257, 335.8523239537853]
[950, 180] [748.9132705914279, 209.8235796975721] [748.9132705914279, 209.8235796975721] [631.9101733489499, 229.7916120325405]
[950, 180] [631.9101733489499, 229.7916120325405] [631.9101733489499, 229.7916120325405] [313.74967454978605, 215.78273886800122]
[950, 180] [313.74967454978605, 215.78273886800122] [313.74967454978605, 215.78273886800122] [316.8059895750102, 106.76736664299011]
[950, 180] [316.8059895750102, 106.76736664299011] [316.8059895750102, 106.76736664299011] [536.1940104249898, 77.23263335700987]
[950, 180] [536.1940104249898, 77.23263335700987] [536.1940104249898, 77.23263335700987] [560.4268815098361, 51.60206940188617]
[950, 180] [560.4268815098361, 51.60206940188617] [560.4268815098361, 51.60206940188617] [748.9132705914279, 209.8235796975721]
[746.500874814525, 529.0053318846581] [160, 700] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
[746.500874814525, 529.0053318846581] [950, 180] [746.500874814525, 529.0053318846581] [612.1188149059358, 432.6628009387675]
